nom	val
Saint-Gratien	10414
Garges-les-Gonesse	8500
Ermont	7208
Sarcelles	7177
Bezons	7169
Argenteuil	6493
Eaubonne	6152
Franconville	5820
Enghien-les-Bains	5707
Deuil-la-Barre	5521
Vaureal	5407
Sannois	5400
Cergy	5283
Montigny-les-Cormeilles	5197
Arnouville	4726
Soisy-sous-Montmorency	4528
Montmagny	4489
Pontoise	4355
Montmorency	4252
Villiers-le-Bel	3938
eragny	3 317
Saint-Leu-la-Foret	3084
Cormeilles-en-Parisis	2958
Margency	2944
Beauchamp	2901
Groslay	2867
Le Plessis-Bouchard	2722
Taverny	2 608
Goussainville	2585
Persan	2518
Saint-Brice-sous-Foret	2468
Fosses	2392
La Frette-sur-Seine	2324
Jouy-le-Moutier	2282
Herblay-sur-Seine	2236
Saint-Ouen-l'Aumone	2042
ezanville	1937
Domont	1918
Beaumont-sur-Oise	1617
Moisselles	1424
Menucourt	1380
Osny	1322
Gonesse	1307
Bouffemont	1241
Bessancourt	1135
Courdimanche	1113
Frepillon	1103
Le Thillay	1075
Meriel	1011
Montlignon	1003
Louvres	930
Pierrelaye	907
ecouen	900
Saint-Prix	899
Mery-sur-Oise	866
Andilly	857
Montsoult	854
Chaumontel	826
Survilliers	826
L'Isle-Adam	817
Butry-sur-Oise	752
Mours	748
Puiseux-en-France	678
Viarmes	652
Marly-la-Ville	635
Parmain	624
Champagne-sur-Oise	547
Auvers-sur-Oise	536
Bernes-sur-Oise	534
Neuville-sur-Oise	509
Seugy	501
Bruyeres-sur-Oise	471
Marines	441
Magny-en-Vexin	400
Villaines-sous-Bois	382
Presles	377
Ennery	345
Saint-Witz	302
Vemars	300
Nointel	266
Maffliers	264
Boissy-l'Aillerie	259
Boisemont	256
Baillet-en-France	252
Attainville	251
mondois	242
Belloy-en-France	241
Bray-et-Lu	238
Luzarches	227
Saint-Martin-du-Tertre	210
Vetheuil	210
Bonneuil-en-France	207
Roissy-en-France	206
Asnieres-sur-Oise	190
Fontenay-en-Parisis	177
Piscop	176
Ronquerolles	174
Gouzangrez	171
Noisy-sur-Oise	169
Vigny	154
