nom,val
Pontoise,4303.0
Ableiges,145.0
Aincourt,91.0
Ambleville,47.0
Amenucourt,24.0
Andilly,959.0
Argenteuil,6400.0
Arnouville,5010.0
Arronville,41.0
Arthies,38.0
Asnieres-sur-Oise,188.0
Attainville,238.0
Auvers-sur-Oise,544.0
Avernes,50.0
Baillet-en-France,247.0
Banthelu,19.0
Beauchamp,2875.0
Beaumont-sur-Oise,1710.0
Bellefontaine,64.0
Belloy-en-France,231.0
Bernes-sur-Oise,497.0
Berville,41.0
Bessancourt,1145.0
Bethemont-la-Foret,109.0
Bezons,7063.0
Boisemont,269.0
Boissy-l'Aillerie,278.0
Bonneuil-en-France,228.0
Bouffemont,1403.0
Bouqueval,109.0
Bray-et-Lu,258.0
Breancon,35.0
Brignancourt,67.0
Bruyeres-sur-Oise,485.0
Buhy,47.0
Butry-sur-Oise,874.0
Cergy,5595.0
Champagne-sur-Oise,531.0
Charmont,9.4
Chars,126.0
Chatenay-en-France,24.0
Chaumontel,771.0
Chaussy,41.0
Chauvry,60.0
Chennevieres-les-Louvres,67.0
Cherence,16.0
Clery-en-Vexin,90.0
Commeny,102.0
Condecourt,80.0
Cormeilles-en-Parisis,2849.0
Cormeilles-en-Vexin,147.0
Courcelles-sur-Viosne,74.0
Courdimanche,1199.0
Deuil-la-Barre,5932.0
Domont,1862.0
Eaubonne,5678.0
Ecouen,947.0
Enghien-les-Bains,6344.0
Ennery,327.0
Epiais-Rhus,59.0
Epiais-les-Louvres,31.0
Epinay-Champlatreux,19.0
Eragny,3677.0
Ermont,6997.0
Ezanville,1883.0
Fontenay-en-Parisis,183.0
Fosses,2681.0
Franconville,5939.0
Fremainville,89.0
Fremecourt,134.0
Frepillon,996.0
Frouville,47.0
Garges-les-Gonesse,7811.0
Genainville,52.0
Genicourt,82.0
Gonesse,1294.0
Goussainville,2659.0
Gouzangrez,214.0
Grisy-les-Platres,97.0
Groslay,2976.0
Guiry-en-Vexin,25.0
Haravilliers,50.0
Haute-Isle,108.0
Hedouville,53.0
Herblay-sur-Seine,2303.0
Herouville-en-Vexin,72.0
Hodent,49.0
Jagny-sous-Bois,62.0
Jouy-le-Moutier,2327.0
L'Isle-Adam,807.0
La Chapelle-en-Vexin,92.0
La Frette-sur-Seine,2320.0
La Roche-Guyon,104.0
Labbeville,78.0
Lassy,92.0
Le Bellay-en-Vexin,47.0
Le Heaulme,108.0
Le Mesnil-Aubry,139.0
Le Perchay,99.0
Le Plessis-Bouchard,3126.0
Le Plessis-Gassot,17.0
Le Plessis-Luzarches,151.0
Le Thillay,1157.0
Livilliers,59.0
Longuesse,64.0
Louvres,912.0
Luzarches,222.0
Maffliers,271.0
Magny-en-Vexin,403.0
Mareil-en-France,100.0
Margency,4010.0
Marines,421.0
Marly-la-Ville,659.0
Maudetour-en-Vexin,29.0
Menouville,22.0
Menucourt,1568.0
Meriel,957.0
Mery-sur-Oise,886.0
Moisselles,923.0
Montgeroult,74.0
Montigny-les-Cormeilles,5307.0
Montlignon,1049.0
Montmagny,4870.0
Montmorency,3996.0
Montreuil-sur-Epte,58.0
Montsoult,907.0
Mours,657.0
Moussy,27.0
Nerville-la-Foret,99.0
Nesles-la-Vallee,137.0
Neuilly-en-Vexin,70.0
Neuville-sur-Oise,482.0
Nointel,255.0
Noisy-sur-Oise,175.0
Nucourt,93.0
Omerville,27.0
Osny,1351.0
Parmain,603.0
Persan,2470.0
Pierrelaye,911.0
Piscop,166.0
Presles,392.0
Puiseux-Pontoise,107.0
Puiseux-en-France,689.0
Roissy-en-France,205.0
Ronquerolles,184.0
Sagy,106.0
Saint-Brice-sous-Foret,2481.0
Saint-Clair-sur-Epte,82.0
Saint-Cyr-en-Arthies,63.0
Saint-Gervais,70.0
Saint-Gratien,8546.0
Saint-Leu-la-Foret,3015.0
Saint-Martin-du-Tertre,210.0
Saint-Ouen-l'Aumone,1944.0
Saint-Prix,903.0
Saint-Witz,311.0
Sannois,5578.0
Santeuil,126.0
Sarcelles,6933.0
Seraincourt,115.0
Seugy,588.0
Soisy-sous-Montmorency,4562.0
Survilliers,775.0
Taverny,2523.0
Themericourt,39.0
Theuville,9.1
Us,120.0
Vallangoujard,81.0
Valmondois,260.0
Vaudherland,1022.0
Vaureal,4758.0
Vemars,302.0
Vetheuil,199.0
Viarmes,632.0
Vienne-en-Arthies,111.0
Vigny,166.0
Villaines-sous-Bois,411.0
Villeron,178.0
Villers-en-Arthies,60.0
Villiers-Adam,87.0
Villiers-le-Bel,3791.0
Villiers-le-Sec,57.0
Wy-dit-Joli-Village,40.0
